LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,48:7D:2E:96:6F:63,-78, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,ME,8C:21:0A:61:38:60,-76, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-72, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,FAST_B7EB68,D8:15:0D:B7:EB:68,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,MERCURY_0285,50:89:65:18:02:85,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-74, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_戴王,48:7D:2E:96:6F:63,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,ME,8C:21:0A:61:38:60,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,FAST_B7EB68,D8:15:0D:B7:EB:68,-76, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,MERCURY_0285,50:89:65:18:02:85,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-76, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-74, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,FAST_B7EB68,D8:15:0D:B7:EB:68,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,MERCURY_0285,50:89:65:18:02:85,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,44:04:44:01:68:7D,-78,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-72, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,44:04:44:01:68:7D,-78,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:01,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-76, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-76, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-79,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,,76:05:A5:17:46:E4,-58, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-78,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:02,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-75,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-74,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-75,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-78,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:03,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:04,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:05,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-78,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-75,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-75,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-75,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-75,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,76:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-74,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-77,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:06,1900-01-00 00:00:00,重庆小而美智能家居,74:05:A5:17:46:E4,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:06,1900-01-00 00:00:00,,44:04:44:01:68:7D,-76,,0.000000,0.000000,0.000,0.000,Client
